Taxpayer_SSN,Year,Dependent_SSN,Dependent_DOB,Dependent_Current_Age
512938471,2020,912384756,2010-05-20,10
512938471,2021,912384756,2010-05-20,11
512938471,2022,912384756,2010-05-20,12
512938471,2023,912384756,2010-05-20,13
409182736,2020,293847561,2001-03-14,19
409182736,2021,293847561,2001-03-14,20
409182736,2022,293847561,2001-03-14,21
409182736,2023,293847561,2001-03-14,22
382910475,2020,992837465,2012-09-10,8
382910475,2021,992837465,2012-09-10,9
382910475,2022,992837465,2012-09-10,10
382910475,2023,992837465,2012-09-10,11
674839201,2020,839201475,1959-11-30,61
674839201,2021,839201475,1959-11-30,62
674839201,2022,839201475,1959-11-30,63
674839201,2023,839201475,1959-11-30,64
598273640,2020,112938475,2005-07-22,15
598273640,2021,112938475,2005-07-22,16
598273640,2022,112938475,2005-07-22,17
598273640,2023,112938475,2005-07-22,18
721839405,2020,483920175,1995-06-18,25
721839405,2021,483920175,1995-06-18,26
721839405,2022,483920175,1995-06-18,27
721839405,2023,483920175,1995-06-18,28
836271904,2020,384920175,2013-02-05,7
836271904,2021,384920175,2013-02-05,8
836271904,2022,384920175,2013-02-05,9
836271904,2023,384920175,2013-02-05,10
902374815,2020,102938475,2003-10-12,17
902374815,2021,102938475,2003-10-12,18
902374815,2022,102938475,2003-10-12,19
902374815,2023,102938475,2003-10-12,20
110293847,2020,293847192,1990-08-25,30
110293847,2021,293847192,1990-08-25,31
110293847,2022,293847192,1990-08-25,32
110293847,2023,293847192,1990-08-25,33
293847561,2020,392847105,1988-11-05,32
293847561,2021,392847105,1988-11-05,33
293847561,2022,392847105,1988-11-05,34
293847561,2023,392847105,1988-11-05,35
