Taxpayer_SSN,Tax_Year,First_Name,Middle_Name,Last_Name,Gender,Address_Line_1,Address_Line_2,City,State,Postal_Code,Email,Phone_Number
512938471,2020,David,Q,Clark,F,277 Maplewood Rd,Apt 1,Dallas,IL,50117,david.clark81@mail.com,312-555-1193
512938471,2021,Laura,B,Green,M,239 Pine St,Unit 3,Phoenix,TX,43436,laura.green81@test.com,512-555-2281
512938471,2022,Sophia,J,Hernandez,M,352 Cedar St,Apt 4,Denver,CA,73218,sophia.hernandez81@test.com,217-555-9252
512938471,2023,Laura,A,Clark,F,796 Redwood Rd,Unit 3,Phoenix,IL,76690,laura.clark81@mail.com,512-555-1809
409182736,2020,Emma,R,Green,M,357 Aspen Blvd,,New York,WA,74517,emma.green75@example.com,217-555-5027
409182736,2021,Sophia,G,Clark,F,442 Maplewood Ln,Unit 2,Atlanta,WA,32648,sophia.clark75@example.com,214-555-7391
409182736,2022,Ashley,A,Lopez,F,728 Aspen Blvd,,Chicago,GA,74944,ashley.lopez75@mail.com,212-555-7878
409182736,2023,Sophia,N,Lopez,M,515 Redwood Ln,,Boston,CA,30973,sophia.lopez75@example.com,213-555-1905
382910475,2020,Linda,B,Clark,M,189 Willow Way,Apt 2,Atlanta,MA,93497,linda.clark92@test.com,213-555-7089
382910475,2021,George,J,Hill,M,221 Palm Way,Unit 3,Austin,OR,26495,george.hill92@mail.com,312-555-4228
382910475,2022,James,E,Lopez,M,139 Maple Ln,Apt 4,Miami,TX,83264,james.lopez92@example.com,214-555-3012
382910475,2023,Sarah,H,Brown,F,246 Redwood St,Unit 1,Portland,GA,71492,sarah.brown92@test.com,404-555-8807
674839201,2020,William,D,Clark,M,144 Birch Rd,,Denver,TX,48230,william.clark66@mail.com,512-555-1332
674839201,2021,Elizabeth,M,King,F,355 Cedar St,,Chicago,IL,73249,elizabeth.king66@test.com,312-555-1999
674839201,2022,David,P,Green,M,998 Pine Way,Unit 2,Austin,WA,71928,david.green66@example.com,512-555-4411
674839201,2023,Laura,L,Clark,F,435 Magnolia Blvd,,Seattle,CA,72415,laura.clark66@mail.com,206-555-6721
598273640,2020,Robert,E,Johnson,M,654 Cedar Ln,,Seattle,WA,98101,robert.johnson58@example.com,206-555-5090
598273640,2021,Robert,E,Johnson,M,654 Cedar Ln,,Seattle,WA,98101,robert.johnson58@example.com,206-555-5090
