Taxpayer_SSN,Tax_Year,1040,1040_Schedule_1,1040_Schedule_2,1040_Schedule_3,1040_Schedule_8812,1040_Schedule_A,1040_Schedule_B,1040_Schedule_C,1040_Schedule_D,1040_Schedule_E,1040_Schedule_F,1040_Schedule_SE,1040X,2441,8949
512938471,2020,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
512938471,2021,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
512938471,2022,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1
512938471,2023,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
409182736,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409182736,2021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
409182736,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
409182736,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382910475,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
382910475,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
382910475,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
382910475,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
674839201,2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
674839201,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
674839201,2022,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
674839201,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598273640,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
598273640,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
598273640,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
598273640,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
721839405,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
721839405,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
721839405,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
721839405,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
836271904,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836271904,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836271904,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836271904,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902374815,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
902374815,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
902374815,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
902374815,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110293847,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110293847,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110293847,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110293847,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
293847561,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293847561,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293847561,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293847561,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392847105,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
392847105,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
392847105,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
392847105,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
564738291,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564738291,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564738291,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564738291,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748291056,2020,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
748291056,2021,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
748291056,2022,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
748291056,2023,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
849201735,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849201735,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
